original,simplified_human,simplified_by_model
중기부는 신청 내용을 확인해 손실보전금 지급 여부를 결정한다.,"중소기업부는 사람들이 신청한 내용을 보고, 돈을 줄지 말지를 결정해요.",중기부는 신청 내용을 확인해서 돈을 돌려줄지 여부를 결정합니다.
일명 ‘상품권 깡’ 등 부정 유통 사례가 끊이지 않는 지역사랑상품권에 대한 규제 강화가 추진된다. 부정행위가 적발된 가맹점에 대한 재등록 제한 규정을 신설하는 한편 규제 현장에서 과태료를 적극적으로 부과하도록 액수를 낮추기로 했다.,"일종의 상품권을 부정하게 사용하는 사람들이 많아서, 이를 막기 위해 지역사랑상품권을 더 엄격하게 규제하려고 해요. 부정행위를 한 가게는 다시 등록할 수 없게 하고, 벌금을 줄여서 더 엄격하게 규제할 거예요.","‘상품권 깡’ 같은 부정행위가 계속 일어나고 있는 지역사랑상품권에 대한 규제가 강화될 예정이에요. 부정행위를 발견한 가게에 대한 재등록 제한을 만들고, 규제에 따라 과태료를 더 적게 부과할 계획이에요."
"■정부·지자체 주도 건설 활성화 정책 마련 시급=이에 건설산업연구원은 지역건설산업 활성화를 위해 정부, 지자체 주도의 정책 마련이 필요하다고 주장했다. 우선 중앙정부 제안 정책으로는 지역 공공 건설투자 확대를 위한 예비타당성조사 제도개선, 지방 인프라 투자 확대, 민간투자사업 활성화 및 지역건설업 참여 유도 확대, 중소 지역건설업 계약목표제 등을 제안했다. 지방자치단체 주도 정책으로는 신규인프라 사업 발굴을 통한 수요 창출, 지역건설업 보호 지원제도의 내실화, 부실 지역건설산업 퇴출시스템 정비 등이 필요 정책으로 지목됐다.","정부와 지역 단체가 건설을 더 활발하게 할 수 있는 방법을 빨리 만들어야 해요. 건설산업연구원이라는 곳에서는 정부와 지역 단체가 함께 힘을 모아야 한다고 말했어요. 

먼저, 중앙정부에서 제안한 방법은 다음과 같아요:
1. 지역에서 공공 건설에 더 많은 돈을 쓰기 위해 필요한 조사를 더 잘 하자.
2. 지방의 인프라, 즉 도로, 다리 같은 시설에 더 많은 투자를 하자.
3. 민간 기업이 건설에 참여할 수 있도록 도와주고, 지역 건설업체가 더 많이 참여하도록 하자.
4. 작은 지역 건설업체가 계약을 따낼 수 있도록 목표를 세우자.

그리고 지역 단체가 주도해야 할 방법은:
1. 새로운 건설 사업을 찾아내서 수요를 늘리자.
2. 지역 건설업체를 보호하고 지원하는 제도를 더 잘 운영하자.
3. 문제가 있는 지역 건설업체를 정리하는 시스템을 만들자.

이런 방법들이 필요하다고 생각해요.","■정부와 지역이 함께 힘을 모아 건설을 활성화해야=이에 건설연구원은 지역 건설을 더 발전시키기 위해 정부와 지역이 함께 힘을 모으는 정책이 필요하다고 말했어요. 먼저 중앙 정부에서 제안한 정책으로는 공공 건설에 더 많은 돈을 투자하고, 지역의 인프라를 더 잘 만들기 위한 제도 개선, 민간 투자 사업을 활성화하고, 지역 건설업 참여를 늘리는 방법 등을 제안했어요. 또, 작은 지역 건설업을 도와주는 지원 제도를 더 잘 만들고, 잘못된 지역 건설업을 없애는 시스템을 고치라는 의견도 나왔어요."
기준 중위소득 100% 이하 여부를 가르는 기준은 격리시점에서 최근에 납부한 건강보험료다.,"기준 중위소득 100% 이하인지 확인하는 방법은, 격리된 시점에서 최근에 낸 건강보험료를 보는 거예요.","기준 중위소득이 100% 이하인 사람들을 보면, 최근에 건강보험료를 내지 않았다는 뜻이에요."
"과표 1천200만∼1천400만원의 적용세율이 기존 15%에서 6%로 9%포인트, 4천600만∼5천만원 구간의 적용세율이 24%에서 15%로 9%포인트 낮아지는데 소득이 작으면 이런 제도 변경을 충분히 체감할 수 없기 때문이다.","소득이 1천200만 원에서 1천400만 원인 사람의 세금이 15%에서 6%로 줄어들고, 4천600만 원에서 5천만 원인 사람의 세금도 24%에서 15%로 낮아져요. 이렇게 세금이 줄어드는 건 좋은 일이지만, 소득이 적은 사람들은 이런 변화가 크게 느껴지지 않을 수 있어요.","과표 1천200만 원에서 1천400만 원의 세금 기준이 원래 15%에서 6%로 줄어들었는데, 소득이 적으면 이런 변화를 잘 느끼기 어려울 수 있어요."
"임대해줄 당시 도로 옆으로 높이 90㎝ 옹벽이 설치돼 경사면을 이루고 있었지만, 현재 도로 옆을 평지로만 메웠다는 게 A씨의 주장이다.","A씨는 처음에 도로 옆에 90㎝ 높이의 벽이 있어서 경사가 있었지만, 지금은 도로 옆이 평평하게 메워졌다고 주장하고 있어요.","A씨는 임대해줄 때 도로 옆에 90cm 높이의 옹벽이 있었는데, 그 옹벽이 경사면을 이루고 있었다고 주장하고 있어요. 하지만 지금은 도로 옆을 평지로만 덮어버렸다는 거예요."
1인 가구 700만명 첫 돌파…3집 중 1곳은 1인가구,우리나라에서 혼자 사는 사람이 700만 명을 넘었어요. 이제 집 3채 중 1채는 혼자 사는 집이에요.,1인 가구가 700만 명을 넘었어요. 3집 중 1곳은 1인 가구예요.
해당 지원센터는 반월·시화산단은 물론 도내 소재·부품·장비 전문기업의 디지털 전환(DX) 추진은 물론 첨단 제조기술 기반의 신제품·신서비스 개발을 지원하는 역할을 담당하게 된다.,"이 지원센터는 반월·시화산업단지와 경기도에 있는 부품과 장비를 만드는 전문 회사들이 더 잘 디지털화(컴퓨터와 인터넷을 이용해 더 편리하게 바꾸는 것)할 수 있도록 도와주고, 최신 기술을 이용해 새로운 제품이나 서비스를 만들 수 있도록 지원하는 역할을 합니다.","해당 지원센터는 반월과 시화산단뿐만 아니라 지역의 제조업체들이 디지털 전환(DX)을 이루고, 최신 기술을 이용해 새로운 제품과 서비스를 개발하는 데 도움을 줄 거예요."
올해 지원 규모는 대출금 기준 67억원이다. 기업 운영에 소요되는 시설 및 운전자금 용도로 해당업체가 융자를 받으면 군에서 2년 동안 3%의 이자차액 보전금을 지원한다.,"올해 군에서 지원하는 돈은 67억원이에요. 기업이 운영하는데 필요한 돈을 빌리면, 군에서 2년 동안 3%의 이자를 보조해준답니다.","올해 지원받는 돈은 대출을 받을 때 기준이 67억원이에요. 만약 기업이 돈을 빌려서 운영하는 데 필요한 돈을 융자받으면, 군에서 2년 동안 3%의 이자차금을 도와줄 거예요."
A씨는 피해자들로부터 받은 돈을 회사 운영비와 개인 채무 변제 등에 사용한 것으로 조사됐다. A씨는 경찰 조사에서 “정당한 계약이고 사기 분양이 아니다”라며 혐의를 부인한 것으로 전해졌다.,"A씨는 피해자들한테서 받은 돈을 회사 운영비와 개인 빚 갚는 데 쓴 것으로 조사되었어요. A씨는 경찰 조사에서 “이건 정당한 계약이고, 사기가 아니다”라고 주장하며 혐의를 부인했다고 전해졌어요.",A씨는 피해자들에게 받은 돈을 회사 운영비와 개인적인 빚을 갚는 데 사용했다고 조사되었어요. A씨는 경찰 조사에서 “정당한 계약이고 사기 같은 일이 아니었다”라고 말하며 혐의를 부인했다고 전해졌어요.
26일 통계청이 발표한 경제활동인구 조사 고령층 부가 조사 결과에 따르면 올해 5월 기준 고령층 인구는 전국 1천509만8천명으로 1년 전보다 33만2천명(2.2%) 증가했다. 10년 전(1천34만8천명)만 해도 1천만명대 초반에 그쳤던 고령층 인구는 올해 처음으로 1천500만명을 넘어섰다.,"26일에 통계청이 발표한 조사 결과에 따르면, 올해 5월에 우리나라의 고령층 인구는 1천509만8천명으로 나타났어요. 이 숫자는 작년보다 33만2천명(2.2%) 더 많아진 거예요. 10년 전에는 고령층 인구가 1천34만8천명으로 1천만명도 안 됐었는데, 올해는 처음으로 1천500만명을 넘었어요. 즉, 나이가 많은 사람들의 수가 계속 늘어나고 있다는 뜻이에요.","26일에 통계청에서 발표한 경제활동인구 조사 결과에 따르면, 올해 5월에 우리나라의 고령층 인구가 1천509만8천명으로 늘어났어요. 이는 1년 전보다 33만2천명(2.2%)이나 늘어난 수치예요. 10년 전인 1천34만8천명보다 처음으로 1천만명 이상이 되었던 고령층 인구는 올해 처음으로 1천500만명에 가까워졌어요."
이순종 인천중소기업회장은 “노란우산공제는 위기의 순간에 소기업·소상공인이 재기할 수 있게 해주는 희망의 빛이다”며 “지역 내 소상공인의 많은 관심과 가입을 기대한다”고 했다.,이순종 인천중소기업회장은 “노란우산공제는 어려운 상황에서 작은 가게와 사업을 하는 사람들이 다시 일어설 수 있도록 도와주는 희망의 빛이에요. 그래서 지역의 작은 가게 주인들이 많이 관심을 가지고 가입해주길 바래요”라고 말했어요.,이순종 인천중소기업회장은 “노란우산공제는 어려운 상황에 있는 작은 기업과 가게들이 다시 시작할 수 있도록 도와주는 희망의 빛이다”라고 말했습니다. “우리 지역의 작은 가게들이 많은 관심을 가지고 가입할 수 있기를 기대합니다.”
의왕시는 다음달까지 이동·삼동 괴말지구 토지주 간 지적경계 합의를 진행한다.,의왕시는 다음 달까지 이동과 삼동 지역에 있는 괴말지구의 땅 주인들과 땅의 경계를 정하는 일을 할 거예요.,의왕시는 다음 달까지 이동·삼동 괴말지구의 땅 주인들이 서로 합의한 지적 경계를 만들려고 해요.
"해당 재개발 구역들은 시의 사전타당성 검토 결과를 토대로 토지 등 소유자 70% 이상, 토지 면적의 50% 이상 등의 동의로 정비계획을 시에 제안하면 시는 심사를 거쳐 결정고시한다.","재개발이 필요한 지역에서는, 먼저 시청에서 이 지역이 재개발이 가능한지 검토해요. 그 다음, 그 지역의 땅이나 건물을 가진 사람들 중 70% 이상이 동의하고, 그 땅의 면적이 50% 이상이 동의하면, 그 사람들이 시청에 재개발 계획을 제안할 수 있어요. 그러면 시청에서는 그 계획을 검토하고, 괜찮다고 판단되면 공식적으로 발표해요.","해당 재개발 지역들은 시에서 미리 검토한 결과에 따라 땅의 소유자가 70% 이상, 땅의 면적이 50% 이상 동의하면 시청에 계획을 제안할 수 있어요. 시청이 검토한 결과에 따라 결정이 내려질 거예요."
"국가산업단지는 국가기간산업의 발전, 첨단과학기술산업 등을 육성하거나 개발 촉진이 필요한 낙후지역을 산업단지로 개발하기 위해 산업입지 및 개발에 관한 법률 제6조에 따라 지정한다. 둘 이상의 특별시·광역시·특별자치시 또는 도에 걸쳐 있는 지역도 국가산업단지 대상에 포함된다.","국가산업단지는 나라의 중요한 산업을 발전시키고, 최신 과학 기술이 필요한 지역을 발전시키기 위해 만들어진 특별한 지역이에요. 이 지역은 법에 따라 정해지며, 여러 도시나 도가 함께 있는 곳도 포함될 수 있어요.","국가산업단지는 나라에서 중요한 산업을 발전시키고, 새로운 기술을 개발하는 지역을 도와주기 위해 만들어집니다. 이 지역이 나이가 많거나 산업이 부족한 곳을 산업단지로 개발하기 위해 지정됩니다. 두 개 이상의 특별한 지역이나 도시가 있는 경우도 국가산업단지에 포함됩니다."
또 마을회관에서 만난 한 주민이 “우정마을에 평생을 살아오면서 사정상 잠시 두 달간 주소를 옮겼는데 주거 이전비를 못 받게 됐다” 며 하소연하자 “구제할 방법이 있는지 알아보겠다”고 했다.,"마을회관에서 한 주민이 “우정마을에서 평생 살았는데, 어떤 이유로 두 달 동안 주소를 옮겼더니 집을 옮긴 돈을 받을 수 없게 됐다”고 이야기했어요. 그러자 누군가 “도와줄 방법이 있는지 알아볼게요”라고 대답했어요.","또 마을회관에서 만난 한 주민이 “우정마을에 평생 살면서 힘든 상황 때문에 한 달 동안 집을 옮겼는데, 이사 비용을 못 받을 것 같아서 걱정한다”며 “이런 방법이 있는지 알아보겠다”고 말했어요."
"최근 물가 및 금리 상승으로 어려움을 겪는 군민과 지역상인들을 위해 군은 새해 설 연휴를 앞두고 철원사랑상품권 10% 할인판매를 실시한다. 판매 기간은 오는 1월1일부터 20일까지이며 개인당 50만원까지 구매할 수 있다. 지류형 상품권은 지역 농축협과 새마을금고, 신협, 산림조합에서 구매할 수 있으며 카드형은 지역 농축협과 우체국, 새마을금고 등에서 발급 또는 충전할 수 있다.","최근 물가와 금리가 올라서 힘든 시간을 보내고 있는 군민과 지역 상인들을 돕기 위해, 군에서는 새해 설 연휴 전에 철원사랑상품권을 10% 할인해서 판매합니다. 이 상품권은 1월 1일부터 20일까지 살 수 있고, 한 사람이 최대 50만 원까지 구매할 수 있어요. 종이로 된 상품권은 지역의 농협, 새마을금고, 신협, 산림조합에서 살 수 있고, 카드 형태의 상품권은 농협, 우체국, 새마을금고 등에서 받을 수 있거나 충전할 수 있습니다.","최근 물가가 오르고, 이자도 높아지면서 힘든 시간을 보내고 있는 군민과 지역 상인들을 위해, 군은 새해 설 연휴를 앞두고 철원사랑상품권을 10% 할인 판매를 시작했어요. 이 상품권은 1월 1일부터 20일까지 사용할 수 있으며, 한 사람당 최대 50만원까지 구매할 수 있어요. 상품권은 지역 농축협, 새마을금고, 신협, 산림조합에서 구매하거나, 카드형으로는 지역 농축협, 우체국, 새마을금고에서 발급하거나 충전할 수 있어요."
이성수 숭실대 교수는 기조연설을 통해 “우리나라 자동차 산업이 발전하기 위해서는 차량용 반도체 설계 클러스터 구축과 후공정 분야가 꼭 필요하다”며 “정주 여건과 자동차 부품 산업기반이 있는 원주에 실현됐으면 한다”고 했다.,이성수 숭실대 교수님은 중요한 발표에서 “우리나라의 자동차 산업이 더 발전하려면 자동차에 필요한 반도체를 설계하는 곳과 후공정이라는 과정이 꼭 필요해요. 그리고 원주처럼 좋은 조건과 자동차 부품 산업이 있는 곳에서 이런 것들이 이루어졌으면 좋겠어요.”라고 말씀하셨어요.,이성수 숭실대 교수는 기조연설에서 “우리나라 자동차 산업이 더 발전하기 위해서는 차량에 사용되는 반도체 설계와 공정을 만드는 곳이 꼭 필요하다”고 말했습니다. 그리고 “정주 여건과 자동차 부품 산업이 잘 이루어지면 원주에 이런 시설이 생겼으면 좋겠다”고 덧붙였습니다.
"이에 해당하는 임대인은 총 200명으로, 대위변제액은 6천925억원에 달한다. 국토부는 이 가운데 26명의 임대인(2천111건·4천507억원)에 대해서는 경찰에 직접 수사를 의뢰했다.","임대인, 즉 집을 빌려주는 사람은 총 200명이고, 그들이 받은 돈은 6천925억 원이에요. 정부는 이 중에서 26명의 임대인에 대해 경찰에 조사를 요청했어요. 이 26명은 2천111건의 문제와 관련이 있고, 그 금액은 4천507억 원이에요.","이런 임대인은 총 200명이에요. 그들이 내야 하는 돈은 6,925억 원이에요. 국토부는 이 중에서 26명이 경찰에 직접 조사해 달라고 요청했어요."
"그 결과, 감정평가액이 59형(전용면적 18평)의 경우, 4억6천만원 이상, 51형(전용면적 15평)은 4억1천만원 이상 등으로 각각 결정됐다.","그 결과, 59형(전용면적 18평)의 집은 4억6천만원보다 비싸게 평가됐고, 51형(전용면적 15평)의 집은 4억1천만원보다 비싸게 평가됐다는 뜻이에요.","결과에 따르면, 59형의 경우 4억6천만 원 이상, 51형의 경우 4억1천만 원 이상으로 감정평가액이 결정되었어요."
폐업 소상공인 5만명에 100만원씩…오늘부터 재도전장려금 신청,가게를 닫은 소상공인 5만 명에게 각각 100만 원을 지원해요. 오늘부터 다시 시작할 수 있도록 도와주는 돈을 신청할 수 있어요.,폐업한 작은 가게 5만 개에 100만원씩…오늘부터 재도전장려금을 신청할 수 있어요.
파주 3호선 연장 경제성 추가…통과 당초보다 1년 연기,"파주 3호선이 더 길어지는 계획이 생겼어요. 그런데 이 계획이 돈이 얼마나 드는지 다시 살펴보게 되었고, 그래서 이 일이 원래보다 1년 늦어지게 되었어요.",파주 3호선이 더 길어지기로 결정되었어요. 원래 계획보다 1년이 더 늦게 통과될 거예요.
16일 수원특례시에 따르면 시는 2억원을 투입해 선정한 엔지니어링 업체를 통해 지난달부터 내년 말까지 ‘2030 수원시 도시·주거환경정비기본계획 타당성’ 조사에 들어갔다.,"16일 수원특례시에서 발표한 내용에 따르면, 이 도시는 2억원을 사용해 뽑은 엔지니어링 회사와 함께 지난달부터 내년 말까지 '2030 수원시 도시와 주거환경을 개선하기 위한 계획'이 잘 이루어질 수 있는지 조사하고 있어요.","16일 수원특례시에서 발표한 내용에 따르면, 시는 2억 원을 투자해서 지난달부터 내년 말까지 '2030 수원시 도시·주거환경정비기본계획의 적합성'을 조사하기 시작했어요."
현재와 같이 시청을 찾아 서류를 제출하는 방식의 허가 신청도 유지된다.,지금처럼 시청에 가서 서류를 제출하는 방법으로 허가를 신청할 수 있습니다.,현재와 같이 시청에 가서 서류를 제출하는 방법은 그대로 유지된다.
[평창]평창에 인구 3만명 스마트 복합 기업도시,[평창]평창에는 3만 명이 살고 있는 스마트 기업도시가 있어요.,평창에 사람들이 3만 명 정도 살고 있는 스마트 복합 기업도시가 생겼어요.
복지사업의 기준선인 기준 중위소득은 4인 가구 기준으로 올해 512만1천80원에서 내년 540만964원으로 5.47% 인상된다.,"복지사업에서 중요한 기준인 '기준 중위소득'은 4인 가족이 받는 돈의 중간값을 말해요. 올해는 512만1천80원이었는데, 내년에는 540만964원으로 오르게 돼요. 이건 약 5.47% 더 많아지는 거예요.","복지사업에서 기준 중위소득은 4인 가구 기준으로 올해 512만 1천80원이고, 내년에는 540만 964원으로 5.47% 올라서요."
[이코노미 플러스] “강원특별자치도 시대 건설산업 제2막 열겠다”,“강원특별자치도가 새로운 시작을 하면서 건설업도 더 발전시키겠다”,"강원특별자치도가 끝난 후, 건설산업이 다시 활발해질 것 같아요."
이수범 한국공인중개사협회 평창군지회장은 “수도권·도심권을 벗어나 청정한 지역에서 삶을 영위하려는 수요가 늘면서 강원도로 매입 활동이 몰리고 있다”고 말했다.,이수범 한국공인중개사협회 평창군지회장은 “사람들이 서울 같은 큰 도시를 떠나서 깨끗하고 자연이 많은 곳에서 살고 싶어 하면서 강원도에 집을 사는 사람들이 많아지고 있다”고 말했습니다.,이수범 한국공인중개사협회 평창군지회장은 “수도권과 도시를 벗어나 깨끗한 지역에서 살고 싶어하는 사람들이 많아지면서 강원도로 집을 사려고 활동이 늘어났다”고 말했습니다.
"[삼척]삼척시 건설·시설분야 1,142억 투입 신속 집행","삼척시에서는 건설과 시설을 위해 1,142억 원을 사용하고, 빠르게 일을 진행할 계획이에요.","[삼척] 삼척시에서 건설과 시설을 위해 1,142억 원을 사용해서 빨리 일을 하고 있어요."
시가 지난 1월 하수도정비기본계획 변경을 통해 검암역세권과 연희공원 등의 개발 사업까지 하수처리 용량에 포함시키며 증설 용량을 6천t 늘리자 LH가 거부 입장으로 돌아선 것이다.,"지난 1월, 시에서는 하수도 계획을 바꿔서 검암역세권과 연희공원 같은 곳의 개발도 하수 처리 용량에 포함하기로 했어요. 그래서 하수 처리 용량을 6천 톤 더 늘리기로 했는데, LH라는 기관이 이 계획에 반대하기로 했어요.",시청은 지난 1월에 하수도 정리 계획을 바꾸면서 검암역 주변과 연희공원 같은 곳에 더 많은 하수를 처리할 수 있도록 만들었어요. 그래서 LH라는 회사에 이 계획을 반대했어요.
내부 종사자 등의 제보로 12개 기관에서 적발한 부당청구 금액은 총 44억원에 달한다.,내부에서 일하는 사람들의 제보 덕분에 12개의 기관이 불법으로 청구한 돈이 총 440억 원이라는 사실을 밝혀냈어요.,내부에서 발견한 12개의 기관에서 제보를 받아서 받은 돈은 총 44억 원입니다.
"이날 행사에는 박주봉 중소기업 옴부즈만과 이민우 경기신보 이사장, 김미경 G포럼 부회장, 이석한 경기도중소기업CEO연합회 회장, 송영미 한국여성경제인협회 경기지회 지회장 및 회원사 등 관계자 30여명이 참석했다.","이날 행사에는 박주봉 중소기업 옴부즈만, 이민우 경기신보 이사장, 김미경 G포럼 부회장, 이석한 경기도중소기업CEO연합회 회장, 송영미 한국여성경제인협회 경기지회 지회장과 그 회원들 등 30명 정도의 사람들이 참석했어요.","이날 행사에는 박주봉 중소기업 옴부즈만, 이민우 경기신보 이사장, 김미경 G포럼 부회장, 이석한 경기도중소기업CEO연합회 회장, 송영미 한국여성경제인협회 경기지회 지회장과 회원 30명이 참석했어요."
그러면서 “특히 신용도가 낮아 제도권 금융을 이용하기 어려운 금융취약 계층이 고금리 사금융 대출에 내몰려 상당한 빚 부담을 지고 있다”고 지적했다.,"""특히 돈을 빌리기 힘든 사람들은 높은 이자를 내야 하는 사금융에서 돈을 빌리게 되어 많은 빚을 지고 있다는 점을 지적했어요.""","특히, 신용이 낮은 사람들은 돈을 빌릴 때 제도의 금융기관을 이용하기 어려워져서 큰 돈을 빚에 짓고 있다고 말했어요."
구리시 딸기원 인근 주민들이 다세대주택·오피스텔 신축으로 건물 사이 도로 기능상실이 우려된다며 반발하고 있다.,"구리시의 딸기원 근처에 사는 사람들이 여러 세대가 함께 사는 집이나 오피스텔이 새로 지어지면, 건물 사이의 도로가 없어질까 걱정하고 있다고 반대하고 있어요.",구리시 딸기원 근처에 사는 주민들이 다세대주택과 오피스텔을 새로 짓는 소식에 대해 걱정하고 있어요. 이로 인해 도로가 제대로 사용할 수 없게 될 것이라고 생각하고 있어요.
