,ID,layout_id,scenario_id,order_inflow_15m,unique_sku_15m,avg_items_per_order,urgent_order_ratio,heavy_item_ratio,cold_chain_ratio,sku_concentration,robot_active,robot_idle,robot_charging,robot_utilization,avg_trip_distance,task_reassign_15m,battery_mean,battery_std,low_battery_ratio,charge_queue_length,avg_charge_wait,congestion_score,max_zone_density,blocked_path_15m,near_collision_15m,fault_count_15m,avg_recovery_time,replenishment_overlap,pack_utilization,manual_override_ratio,avg_delay_minutes_next_30m,warehouse_temp_avg,humidity_pct,day_of_week,external_temp_c,wind_speed_kmh,precipitation_mm,lighting_level_lux,ambient_noise_db,floor_vibration_idx,return_order_ratio,air_quality_idx,co2_level_ppm,hvac_power_kw,wms_response_time_ms,scanner_error_rate,wifi_signal_db,network_latency_ms,worker_avg_tenure_months,safety_score_monthly,label_print_queue,barcode_read_success_rate,ups_battery_pct,lighting_zone_variance,shift_hour,staff_on_floor,forklift_active_count,loading_dock_util,conveyor_speed_mps,prev_shift_volume,avg_package_weight_kg,inventory_turnover_rate,daily_forecast_accuracy,order_wave_count,pick_list_length_avg,express_lane_util,bulk_order_ratio,staging_area_util,cold_storage_temp_c,pallet_wrap_time_min,fleet_age_months_avg,maintenance_schedule_score,robot_firmware_update_days,avg_idle_duration_min,charge_efficiency_pct,battery_cycle_count_avg,agv_task_success_rate,robot_calibration_score,aisle_traffic_score,zone_temp_variance,path_optimization_score,intersection_wait_time_avg,storage_density_pct,vertical_utilization,racking_height_avg_m,cross_dock_ratio,packaging_material_cost,quality_check_rate,outbound_truck_wait_min,dock_to_stock_hours,kpi_otd_pct,backorder_ratio,shift_handover_delay_min,sort_accuracy_pct
56658,TRAIN_056658,WH_092,SC_06938,,40.0,4.25,0.05,0.3,0.1,0.3281,10,15,5,0.3333,116.35,0.0,50.23,13.96,0.0333,0.0,0.0,11.21,0.1667,0.0,,0.0,0.0,0.0649,0.1429,0.0997,7.413232134115205,20.7,54.1,0.0,17.9,14.3,25.2,714.0,76.8,0.214,0.0961,79.7,653.0,45.1,206.0,0.0282,-76.9,18.0,98.0,81.7,15.0,0.9229,59.9,0.0369,15.0,24.0,5.0,0.4716,2.29,1126.0,5.53,2.77,0.8623,7.0,6.91,0.4081,0.2003,0.2682,-17.9,,18.8,90.6,21.4,3.15,90.0,212.0,0.8675,63.3,22.6,,55.1,,0.5317,0.6364,8.28,0.3242,6.23,0.1903,,8.3,86.5,0.1165,3.53,98.24
98516,TRAIN_098516,WH_249,SC_01551,1.0,,6.0,0.0,0.0,0.0,0.2096,1,51,0,0.0192,25.0,0.0,53.95,18.94,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0119,0.0291,5.349681468739657,,60.8,4.0,12.3,,0.0,,77.7,0.8416,,3.5,1194.0,32.3,58.0,0.0253,-30.0,,87.0,92.9,,0.9471,89.2,0.2634,13.0,14.0,3.0,0.2673,1.62,1069.0,8.62,2.6,0.9067,12.0,8.77,,0.1841,0.3087,-5.5,1.94,33.5,80.3,50.4,5.07,90.8,255.0,0.8693,70.3,55.0,0.57,73.6,2.95,,0.7969,9.81,0.2693,5.06,0.0505,2.3,4.77,86.8,0.0435,9.75,97.01
182327,TRAIN_182327,WH_138,SC_03550,18.0,42.0,3.44,0.0,0.0556,0.0,0.1681,3,22,0,0.12,23.87,0.0,66.07,15.38,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0667,0.0228,7.904729990696748,15.0,20.0,0.0,-1.6,1.1,27.4,297.0,73.5,0.1695,0.0726,95.6,892.0,56.8,,,-69.0,49.5,91.0,,1.0,0.979,56.5,0.3053,16.0,13.0,1.0,0.1739,,1466.0,2.84,0.85,0.9908,15.0,6.02,0.0151,0.1981,,-15.3,2.57,,84.1,13.4,9.96,86.5,,0.9224,76.8,,2.56,90.9,,,0.6836,6.76,0.1149,2.58,,9.9,10.76,95.3,0.009,1.42,97.64
229339,TRAIN_229339,WH_220,SC_08836,77.0,,3.19,,0.1558,0.0909,0.2585,11,54,0,0.1692,18.68,0.0,,16.52,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.7333,0.0843,2.1711747510903305,27.15,40.7,5.0,25.5,45.2,4.2,711.0,70.4,0.0438,0.0103,53.0,400.0,8.1,389.0,0.0251,,5.8,106.0,84.7,20.0,0.9011,,0.0,,18.0,,0.2796,0.77,1514.0,,3.36,0.6852,19.0,14.32,0.3079,0.3691,0.5066,-14.6,4.74,24.9,,5.7,7.11,89.9,102.0,0.9373,,,0.8,90.6,1.55,0.853,0.7475,9.82,0.1676,5.89,0.2264,22.7,12.75,86.0,0.1354,9.75,98.42
196338,TRAIN_196338,WH_043,SC_05794,139.0,338.0,4.13,0.0216,0.1295,,0.3537,6,0,25,0.1935,42.74,1.0,29.7,30.0,0.6452,,9.72,,0.0968,0.0,2.0,0.0,0.0,0.0621,0.125,0.0945,15.95970585270156,15.0,80.0,0.0,-0.8,10.1,17.7,375.0,79.6,0.5774,,0.4,673.0,,259.0,0.0206,-60.6,12.7,25.0,79.5,20.0,,84.6,0.681,20.0,30.0,5.0,0.3733,,1700.0,3.56,2.99,0.6447,16.0,7.07,,0.2791,0.3891,-11.8,3.45,49.6,83.3,58.2,,88.4,250.0,0.9094,77.8,11.8,0.78,,4.5,0.5397,0.8494,8.34,0.2556,4.83,0.1905,6.0,12.53,,,8.63,
116137,TRAIN_116137,WH_227,SC_09184,9.0,27.0,7.0,,0.0,,0.2754,3,59,0,0.0484,,0.0,66.41,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0536,0.0326,6.65993613536024,26.1,45.0,1.0,7.5,15.5,17.5,570.0,85.5,0.6183,0.1278,23.2,468.0,37.0,110.0,0.014,-34.6,50.0,35.0,90.2,15.0,0.9273,63.6,0.2109,15.0,29.0,5.0,0.3215,2.95,700.0,5.5,1.52,0.9957,,16.8,0.0354,0.1291,,-25.0,6.21,34.1,80.5,58.8,5.62,79.5,320.0,0.8664,85.2,49.4,3.06,94.1,2.89,0.4916,0.848,7.78,0.4113,1.87,0.0849,3.3,1.0,95.9,0.0868,7.5,98.78
182233,TRAIN_182233,WH_299,SC_09151,209.0,230.0,4.91,0.3636,0.1962,0.2297,0.6775,4,2,52,0.069,27.75,0.0,22.73,30.0,,30.0,12.17,5.78,0.0172,0.0,0.0,0.0,0.0,0.0299,0.0,0.0589,31.92915316509474,29.54,39.2,3.0,,30.8,22.3,620.0,,0.8189,0.0837,85.2,,42.5,212.0,0.0408,-63.3,10.1,12.0,79.0,19.0,0.9914,81.7,0.3343,16.0,18.0,5.0,0.8428,2.89,1937.0,9.45,4.18,0.8682,21.0,8.66,0.77,0.1426,0.5709,-2.4,4.65,59.8,83.6,31.1,0.27,74.6,396.0,0.9052,80.5,49.3,1.9,84.1,3.38,0.7533,0.4594,8.18,0.1673,1.42,0.1547,1.4,7.02,96.4,0.1252,4.02,96.33
56933,TRAIN_056933,WH_228,SC_08703,38.0,168.0,9.13,,0.1316,0.1316,0.4986,20,15,0,0.5714,131.62,0.0,60.93,15.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.2262,,3.9681865397920015,27.2,24.6,1.0,28.0,42.4,,299.0,,0.0,0.0902,93.9,776.0,15.6,339.0,0.0245,-80.0,7.0,32.0,71.5,20.0,0.9413,,0.3023,17.0,32.0,2.0,0.0541,2.08,,,2.8,0.8931,19.0,9.33,0.1374,0.4392,0.3375,,3.49,39.8,97.0,56.8,4.29,,,0.8805,86.3,31.2,1.57,50.5,4.79,0.3469,0.7953,8.47,0.2236,5.42,,15.0,9.89,85.3,0.0619,8.71,96.08
102003,TRAIN_102003,WH_052,SC_06533,59.0,155.0,5.61,0.1017,0.1186,0.1864,0.3085,18,5,1,0.75,27.55,0.0,59.42,15.42,0.0,,0.0,15.5,0.125,1.0,,,12.25,0.0695,0.3917,0.0428,24.25601373930007,15.84,70.0,5.0,22.5,15.3,,377.0,59.9,1.0,,86.7,781.0,,63.0,0.0312,-60.3,2.1,94.0,70.7,5.0,,70.6,0.0978,11.0,28.0,1.0,0.332,1.72,2699.0,4.17,3.28,0.7541,20.0,13.0,0.5761,0.3686,0.3224,-13.5,2.31,37.0,72.4,39.3,5.14,83.3,205.0,0.9772,85.3,50.1,,66.7,3.85,0.8878,0.4008,,0.2569,,0.1804,,7.79,73.6,0.0536,6.16,97.57
65246,TRAIN_065246,WH_208,SC_02548,,203.0,5.3,0.0805,0.2874,0.1034,0.3762,15,47,4,0.2273,21.6,0.0,53.66,18.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.038,0.725,0.0958,5.927819857968778,22.26,75.0,5.0,-2.7,14.4,3.7,276.0,50.0,0.3683,0.005,67.9,921.0,48.9,380.0,,,11.5,6.0,,17.0,0.9591,62.8,,12.0,16.0,6.0,0.1944,2.28,1161.0,8.82,2.99,0.8771,6.0,14.28,0.309,0.339,,-11.5,6.44,26.5,85.0,58.8,6.77,91.6,,0.9253,90.5,28.6,2.82,83.8,2.73,0.8216,0.5055,6.55,,5.73,0.1176,10.1,7.08,80.5,0.0343,3.27,93.94
158840,TRAIN_158840,WH_173,SC_04531,143.0,299.0,7.17,0.1608,0.2587,0.014,0.6334,31,21,0,0.5962,60.48,,61.23,16.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.625,0.077,1.0196492853979358,29.83,72.5,2.0,24.8,34.5,10.0,585.0,61.3,0.1514,0.1006,100.0,633.0,77.1,239.0,0.007,-56.7,25.7,36.0,67.6,16.0,0.9005,65.5,0.2297,16.0,32.0,6.0,0.4066,2.11,3764.0,10.03,3.65,0.6917,12.0,18.16,0.1785,0.2061,,-13.4,7.46,13.6,,14.5,9.93,90.8,,0.8977,66.8,31.2,1.17,90.5,2.75,0.5817,0.844,10.52,,5.17,0.123,8.4,14.59,84.4,,4.76,93.5
30204,TRAIN_030204,WH_205,SC_04230,51.0,40.0,1.31,0.0588,0.098,0.2353,0.3065,8,38,0,0.1739,30.19,0.0,69.52,17.79,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3864,,8.887138799405715,28.07,,,16.9,17.3,8.7,687.0,,0.4491,0.0918,,745.0,67.6,135.0,0.0229,-52.2,23.1,118.0,,6.0,0.9545,60.5,0.3184,14.0,35.0,2.0,0.0702,1.11,,7.81,,0.7236,18.0,9.69,0.0653,0.1106,0.565,-8.4,4.29,,88.1,22.9,6.36,94.9,63.0,0.911,,40.8,,91.2,1.12,0.762,0.7223,9.4,0.0801,7.67,0.0801,10.0,8.82,86.4,0.0766,2.4,97.17
118990,TRAIN_118990,WH_274,SC_00974,114.0,25.0,1.33,0.1842,0.2368,0.3246,0.7527,19,50,0,0.2754,,0.0,60.31,15.32,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1562,0.6706,0.0411,3.067589468286762,,79.5,1.0,7.7,6.1,7.7,706.0,71.1,0.5889,0.0563,80.5,533.0,5.0,500.0,,-39.6,39.5,65.0,,16.0,0.9006,99.3,0.6863,11.0,18.0,2.0,0.4331,2.18,2317.0,3.33,2.19,0.7206,15.0,12.52,0.5827,0.1743,,-1.0,1.49,22.0,95.9,53.8,5.32,89.8,146.0,0.9161,81.1,0.7,1.27,87.6,1.04,0.6191,0.7814,7.04,0.1829,,0.099,15.7,,,,9.75,97.35
145211,TRAIN_145211,WH_275,SC_07430,170.0,70.0,1.29,0.2471,0.3824,0.1941,,26,0,0,1.0,48.93,0.0,60.36,15.87,0.0,0.0,0.0,,0.0385,0.0,0.0,0.0,0.0,0.0466,1.0,0.02,29.66861751263308,30.0,36.8,4.0,9.7,36.6,17.3,529.0,69.2,0.6622,0.0153,,742.0,39.9,393.0,0.0322,-75.3,25.5,,88.7,18.0,0.9484,60.2,0.1358,15.0,37.0,3.0,0.4406,1.49,2814.0,5.94,3.33,0.7935,21.0,,0.6147,0.3094,0.4277,,3.54,41.9,94.2,25.5,1.68,97.9,,0.9025,95.4,,0.12,79.4,1.01,,0.6106,5.03,0.2684,5.49,0.0437,14.8,1.68,,0.1484,7.42,93.75
105915,TRAIN_105915,WH_196,SC_07223,90.0,94.0,1.63,0.0778,0.0556,0.1111,0.2822,15,57,0,0.2083,26.84,0.0,51.72,18.42,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8654,0.0261,6.622859873336543,15.0,20.0,3.0,36.1,40.3,8.6,445.0,68.2,0.5644,0.0891,79.0,615.0,55.1,,0.04,-74.1,30.2,62.0,,14.0,0.9277,62.1,0.8065,,18.0,2.0,,1.99,2514.0,9.27,1.38,0.6268,6.0,12.27,0.2934,0.2506,0.3176,-18.7,2.98,29.5,88.2,54.7,13.44,92.1,258.0,0.9206,80.5,7.1,2.84,72.7,5.38,0.3843,0.2614,8.35,0.2457,8.66,0.0179,14.9,1.4,93.8,0.0935,6.42,98.99
93636,TRAIN_093636,WH_269,SC_03112,12.0,10.0,1.42,0.0833,0.0,0.25,0.2181,3,49,0,0.0577,96.78,0.0,60.57,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.04,,2.6986965847484194,20.78,48.0,0.0,29.0,33.1,30.0,200.0,62.1,0.9339,0.0,,1045.0,22.4,143.0,0.0318,-33.3,45.9,120.0,,,0.9,62.6,0.0,,11.0,0.0,0.2212,1.66,1607.0,,,0.669,4.0,7.1,0.3889,,0.3451,-7.7,,43.3,94.2,58.8,3.92,96.7,259.0,,78.3,16.8,0.32,61.3,5.44,0.6131,0.6373,,0.1497,6.35,,14.1,,,0.1312,0.0,95.95
212726,TRAIN_212726,WH_205,SC_04226,65.0,41.0,1.54,0.0308,0.0462,0.0923,0.4837,10,36,0,0.2174,,0.0,70.2,17.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0844,8.611066284977342,26.94,66.8,6.0,24.3,,7.7,698.0,70.8,,0.1112,77.1,907.0,59.4,182.0,0.042,-48.0,27.9,6.0,62.1,17.0,0.9082,68.5,0.7714,6.0,22.0,2.0,0.4632,1.57,3018.0,,3.06,,,11.73,0.511,0.0074,0.3982,-8.2,1.1,45.9,97.5,48.4,5.31,80.1,,0.8939,,46.7,1.97,70.5,5.95,0.7786,0.4976,9.64,,4.17,0.2265,17.4,6.05,86.4,0.114,9.01,94.46
110543,TRAIN_110543,WH_073,SC_02253,103.0,183.0,4.15,0.0777,0.2039,,0.5085,16,0,47,0.254,69.12,5.0,22.75,30.0,0.7143,26.0,7.5,87.94,0.2063,4.0,,0.0,0.0,0.0148,0.0,0.1811,20.264696861738983,,,4.0,1.9,7.5,0.0,480.0,,0.1023,0.02,19.0,680.0,41.3,248.0,0.0466,-45.1,1.0,81.0,72.8,,0.977,94.8,,5.0,29.0,4.0,0.373,2.76,2365.0,5.6,1.76,0.8222,,11.59,0.4801,0.3905,,,1.78,40.7,80.7,,5.14,78.7,308.0,0.8807,93.6,,,,5.2,0.5326,0.6685,,0.2708,,0.1785,,22.84,85.0,0.0552,11.32,91.24
230070,TRAIN_230070,WH_261,SC_03805,37.0,21.0,1.35,,0.0811,0.1892,0.4081,8,14,0,0.3636,77.45,0.0,53.04,16.58,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.925,0.0856,3.2132495788247706,21.43,38.7,2.0,,3.1,5.1,710.0,65.4,0.0371,0.0086,100.0,400.0,,457.0,0.0145,-59.7,21.7,36.0,76.2,,0.9329,50.8,0.2411,7.0,21.0,2.0,0.2268,2.05,2241.0,,2.17,0.6564,16.0,,0.5328,0.2612,0.628,-3.9,2.96,36.3,91.6,1.0,,79.8,121.0,0.9318,71.9,33.8,0.92,81.9,3.75,0.6415,0.8448,9.5,0.1852,9.66,0.2273,16.7,14.7,82.7,0.1127,6.34,93.5
72535,TRAIN_072535,WH_172,SC_06417,216.0,500.0,4.34,0.1898,0.1759,0.1435,0.4329,41,26,3,0.5857,19.22,0.0,57.06,16.98,0.0143,0.0,0.0,53.28,0.0857,6.0,2.0,3.0,,0.04,1.0,0.1035,19.07343070272057,16.87,53.0,4.0,,36.7,,430.0,69.3,0.1978,0.0856,0.5,880.0,,321.0,0.0006,-42.9,25.4,,78.8,17.0,0.9806,94.8,0.2664,17.0,24.0,2.0,0.8876,1.72,3990.0,,2.27,0.6733,25.0,7.95,0.5095,0.3948,0.7478,-10.8,5.67,,84.5,32.7,4.74,83.1,89.0,0.9788,,50.4,1.2,,6.85,0.5554,0.6162,9.87,0.4367,4.77,0.112,26.2,10.8,81.4,0.0614,3.27,97.48
186114,TRAIN_186114,WH_102,SC_08424,241.0,112.0,1.38,0.361,0.3444,0.1784,0.5763,49,19,1,0.7101,102.35,0.0,55.46,17.53,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,1.0,0.0119,119.80483635197432,28.6,33.9,4.0,4.6,34.8,14.3,459.0,67.6,0.8456,,,1200.0,73.1,289.0,0.0199,-41.8,36.0,55.0,81.9,0.0,0.9237,100.0,0.4885,12.0,45.0,8.0,0.8956,1.3,3266.0,13.03,,0.87,23.0,5.99,,0.2345,0.6719,0.4,4.35,,,45.2,,96.4,131.0,0.9656,84.2,25.8,1.59,72.5,4.16,0.3598,,2.73,0.1506,8.0,0.0941,,12.55,86.3,0.0558,,96.7
49021,TRAIN_049021,WH_293,SC_01348,47.0,38.0,1.53,0.0638,0.1277,0.1064,0.3336,10,15,0,0.4,25.62,,57.72,14.75,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0191,1.0,0.0789,12.008865461142268,15.29,20.0,0.0,27.7,,24.8,567.0,,1.0,0.046,82.1,400.0,75.2,76.0,0.0216,-48.7,42.4,68.0,86.0,0.0,0.9653,71.3,0.7812,6.0,39.0,,0.1195,,1685.0,9.89,3.56,,2.0,,0.5476,0.1527,0.2702,-2.0,2.0,7.7,75.6,10.3,8.38,91.3,225.0,0.9403,78.2,43.3,1.91,81.7,3.93,0.7174,0.5401,,0.0118,6.67,0.1828,23.9,4.22,77.2,0.0825,7.61,94.37
